KDJ;KABKOT;PROVINSI;PULAU;Region;KDJ_1;Province;Regency_Ci;acuan;Distric_Na;sat2012;sat2013;sat2014;sat2015;sat2016;sat2017;sat2018;sat2019;sat2020;gdp2012;gdp2013;gdp2014;gdp2015;gdp2016;gdp2017;gdp2018;gdp2019;gdp2020
9419;Kabupaten Sarmi;Papua; ;Papua;9419;Papua;Regency;Sarmi;Sarmi;-7.73062851;4.294045098;54.12306438;48.65969118;31.82683421;72.63032721;36.72397283;78.7844263;69.81123225;1154.745;1231.678;1314.542;1406.01;1499.787;1604.059;1706.119;1833.190323;1834.656875
9101;Kabupaten Fakfak;Papua Barat; ;Papua;9101;Papua Barat;Regency;Fakfak;Fakfak;-7.625325916;17.23777518;143.1392773;200.6334685;197.3251304;192.5102559;209.1578848;173.3982824;244.4582222;2246.603;2436.275;2611.541;2801.967;2948.829;3159.048;3366.469;3545.301821;3440.715418
9102;Kabupaten Kaimana;Papua Barat; ;Papua;9102;Papua Barat;Regency;Kaimana;Kaimana;-2.826668769;39.22721011;65.50044876;61.48908798;96.53109563;26.39431652;137.6753361;99.60406551;119.1407969;1273.145;1364.024;1438.384;1509.905;1557.819;1647.081;1743.656;1803.415886;1761.756979
1225;Kabupaten Nias Barat;Sumatera Utara; ;Sumatera;1225;North Sumatera;Regency;Nias Barat;Nias Barat;0;0;0;0;0;17.6594252;0;18.35245889;1.564313233;877.93;923.29;970.55;1017.8;1074.48;1126.19;1179.91;1236.572232;1257.099331
1201;Kabupaten Nias;Sumatera Utara; ;Sumatera;1201;North Sumatera;Regency;Nias;Nias;0;0;0;13.8628137;9.648535624;26.14346203;33.88067901;28.89811942;30.91694888;1776.05;1888.76;1991.99;2100.11;2214.15;2325.01;2440.16;2563.06791;2609.203132
1224;Kabupaten Nias Utara;Sumatera Utara; ;Sumatera;1224;North Sumatera;Regency;Nias Utara;Nias Utara;0;0;0;1.823920667;5.814024303;10.50458653;15.34755293;7.076181442;36.14952374;1645.93;1750.25;1847.62;1948;2043.91;2134.49;2228.75;2331.93981;2368.784459
1101;Kabupaten Simeulue;Aceh; ;Sumatera;1101;Aceh;Regency;Simeulue;Simeulue;0;0;117.5534591;78.30904916;49.81342268;121.1827879;124.6099801;143.9742235;170.7355521;1180.151;1235.543;1292.865;1353.914;1405.84;1467.98;1531.85;1599.544037;1601.943353
1272;Kota Tanjung Balai;Sumatera Utara; ;Sumatera;1272;North Sumatera;City;Kota Tanjung Balai;Tanjung Balai;0;249.6619502;632.7966693;670.0839101;753.2802305;862.298175;953.6246185;928.75014;931.8080775;3919.55;4152.39;4392.58;4637.5;4904.54;5174.85;5473.63;5790.518795;5763.303357
7412;Kabupaten Konawe Kepulauan;Sulawesi Tenggara; ;Sulawesi;7412;Southeast Sulawesi;Regency;Konawe Kepulauan;Konawe Kepulauan;0;2.84836264;2.714149267;13.2783808;13.53634951;26.15854324;51.67194197;57.99543993;65.15238369;735.541;681.546;733.949;791.129;852.992;913.548;981.375;1054.080664;1047.439955
9415;Kabupaten Asmat;Papua; ;Papua;9415;Papua;Regency;Asmat;Asmat;0;0;0;0;0;5.888473243;12.10746704;26.42595962;0;1041.561;1105.485;1165.932;1221.84;1297.334;1373.288;1452.599;1521.783539;1530.762061
9436;Kabupaten Deiyai;Papua; ;Papua;9436;Papua;Regency;Deiyai;Deiyai;0;0;0;0;0;0;0;0;1.764427185;485.661;539.107;601.622;679.524;733.449;768.695;795.074;832.6346683;829.720447
9434;Kabupaten Dogiyai;Papua; ;Papua;9434;Papua;Regency;Dogiyai;Dogiyai;0;0;0;0;0;0;2.657128453;7.956031203;5.688788593;533.749;576.867;631.507;684.445;732.228;775.798;821.626;893.1677084;896.2044786
9435;Kabupaten Intan Jaya;Papua; ;Papua;9435;Papua;Regency;Intan Jaya;Intan Jaya;0;0;0;0;0;0;0;0;0;476.851;530.734;587.651;647.041;693.419;718.803;738.78;761.2742525;758.3814103
9430;Kabupaten Lanny Jaya;Papua; ;Papua;9430;Papua;Regency;Lanny Jaya;Lanny Jaya;0;0;0;0;0;0;0;0;0;745.305;805.976;865.512;922.59;975.918;1028.447;1082.613;1160.156247;1181.619138
9431;Kabupaten Mamberamo Tengah;Papua; ;Papua;9431;Papua;Regency;Mamberamo Tengah;Mamberamo Tengah;0;0;0;0;0;0;1.817676187;0;0;469.916;520.437;565.509;601.61;635.911;671.678;706.01;751.1595755;758.8214032
9111;Kabupaten Manokwari Selatan;Papua Barat; ;Papua;9111;Papua Barat;Regency;Manokwari Selatan;Kab. Manokwari Selatan;0;0;3.364037184;5.129747406;30.94551966;91.06096438;86.38696061;99.31395057;116.6450039;411.086;433.285;458.418;479.46;502.57;524.895;548.689;585.709656;568.3140792
9414;Kabupaten Mappi;Papua; ;Papua;9414;Papua;Regency;Mappi;Mappi;0;16.0577966;16.36353572;43.61259116;40.56212134;46.90001601;75.3940673;68.24311329;62.22065738;1194.444;1256.749;1360.753;1454.309;1555.259;1664.838;1770.131;1889.492812;1863.417811
9110;Kabupaten Maybrat;Papua Barat; ;Papua;9110;Papua Barat;Regency;Maybrat;Maybrat;0;0;0;3.270621549;0.928245291;0.276599795;11.19923958;12.99978498;25.63392648;312.617;329.023;349.839;369.12;392.746;418.492;444.091;467.6242912;461.7789876
9404;Kabupaten Nabire;Papua; ;Papua;9404;Papua;Regency;Nabire;Nabire;0;93.99500725;37.96237633;281.855545;110.4199766;61.15277088;175.1418209;345.9852826;391.3749361;3463.226;3839.138;4138.691;4491.578;4852.384;5198.478;5569.183;7481.430037;7402.126879
9429;Kabupaten Nduga;Papua; ;Papua;9429;Papua;Regency;Nduga;Nduga;0;0;0;0;0;0;6.264273942;0;0;471.896;524.987;574.659;619.066;660.687;708.532;749.243;787.0904936;792.521418
9112;Kabupaten Pegunungan Arfak;Papua Barat; ;Papua;9112;Papua Barat;Regency;Pegunungan Arfak;Pegunungan Arfak;0;0;0;0;0.81676076;6.75453645;4.33264342;3.86400941;1.590990037;93.066;97.156;106.001;113.07;116.637;122.532;134.43;142.811305;149.6234042
9417;Kabupaten Pegunungan Bintang;Papua; ;Papua;9417;Papua;Regency;Pegunungan Bintang;Pegunungan Bintang;0;0;0;0;0;0;0;0;0;934.378;995.101;1058.156;1121.087;1193.864;1265.961;1332.598;1409.285079;1407.734866
9433;Kabupaten Puncak;Papua; ;Papua;9433;Papua;Regency;Puncak;Puncak;0;0;0;0;0;0;0;0;1.69173336;491.91;537.156;587.667;643.13;690.204;736.283;785.778;826.5165184;827.1777316
9411;Kabupaten Puncak Jaya;Papua; ;Papua;9411;Papua;Regency;Puncak Jaya;Puncak Jaya;0;0;0;0;1.003113866;2.210053682;0;0;0.844635069;721.698;755.253;788.374;846.841;885.587;918.368;959.907;1010.704324;977.2500106
9109;Kabupaten Tambrauw;Papua Barat; ;Papua;9109;Papua Barat;Regency;Tambrauw, Kab;Tambrauw, Kab;0;5.49109596;0;0;2.938608546;5.909530848;10.3690272;12.15032759;15.52733228;111.808;125.4;113.384;119.995;125.932;133.906;141.212;150.4595711;146.7131278
9418;Kabupaten Tolikara;Papua; ;Papua;9418;Papua;Regency;Tolikara;Tolikara;0;0;0;0;0;4.094046861;1.374387056;1.794407114;0;742.365;788.044;840.987;882.032;922.39;964.907;1009.643;1053.586685;1058.74926
9416;Kabupaten Yahukimo;Papua; ;Papua;9416;Papua;Regency;Yahukimo;Yahukimo;0;0;0;0;0;16.36507201;0;0;0;1006.768;1075.081;1150.544;1232.487;1289.36;1367.352;1441.958;1546.792012;1546.946691
9432;Kabupaten Yalimo;Papua; ;Papua;9432;Papua;Regency;Yalimo;Yalimo;0;0;0;0;0;0.911490738;2.863927186;0;1.949134469;444.072;498.813;547.907;596.675;637.474;670.51;714.095;757.1466687;764.5667061
9427;Kabupaten Supiori;Papua; ;Papua;9427;Papua;Regency;Supiori;Supiori;0.011318328;2.742892073;9.971559454;11.72935097;10.83091367;71.88690367;80.95177718;82.22921361;83.34955566;555.445;579.076;616.182;642.279;670.809;697.752;726.963;760.763927;769.284483
9426;Kabupaten Waropen;Papua; ;Papua;9426;Papua;Regency;Waropen;Waropen;0.279205605;7.640490159;10.29591791;20.69655232;25.60997554;14.60365508;31.39941034;38.67281605;26.73929888;829.727;927.493;1024.694;1123.721;1229.958;1324.748;1419.471;1508.548318;1472.946578
9103;Kabupaten Teluk Wondama;Papua Barat; ;Papua;9103;Papua Barat;Regency;Teluk Wondama;Teluk Wondama;0.747375488;-0.185511388;2.895492971;26.1987022;34.27570026;42.70259023;41.52948463;32.21389011;88.03123203;832.099;845.721;810.361;841.912;887.502;933.938;971.435;1012.060152;979.4718152
1278;Kota Gunungsitoli;Sumatera Utara; ;Sumatera;1278;North Sumatera;City;Kota Gunung Sitoli;Gunung Sitoli;1.93145442;103.0966475;128.5838549;80.61833821;15.13485765;345.5775787;379.9259989;342.2561481;223.565862;2276.15;2417.72;2565.26;2703.5;2876.34;3049.12;3232.97;3428.442409;3441.470491
8208;Kabupaten Pulau Taliabu;Maluku Utara; ;Maluku;8208;North Maluku;Regency;Pulau Taliabu;Pulau Taliabu;2.511069188;7.058120513;12.46640304;33.22598658;50.17717828;87.13255021;190.2258768;194.1940601;207.1638681;688;649.6;687.9;726.5;767.9;808.6;906.1;994.6000598;1005.14282
7413;Kabupaten Muna Barat;Sulawesi Tenggara; ;Sulawesi;7413;Southeast Sulawesi;Regency;Muna Barat;Muna Barat;3.224586967;11.28419092;9.489024046;47.53314604;54.83466709;99.25460623;126.2630308;143.2802129;180.3965722;1397.545;1432.432;1326.541;1433.663;1537.091;1618.722;1725.997;1843.385273;1851.127491
1301;Kabupaten Kepulauan Mentawai;Sumatera Barat; ;Sumatera;1301;West Sumatera;Regency;Kepulauan Mentawai;Kepulauan Mentawai;3.263004329;7.968982123;19.35511783;16.98867278;0;45.1291137;73.01763332;54.82205851;23.31175151;2114.319;2236.274;2360.746;2483.572;2608.127;2741.55;2876.245;3012.122564;2956.398296
