KDJ,KabKot,Region,Province,Regency_Ci,District_name,sat_2019,sat_2020,gdp_2019,gdp_2020
9419,Kabupaten Sarmi,Papua,Papua,Regency,Sarmi,78.7844263,69.81123225,1834,1835
9101,Kabupaten Fakfak,Papua,Papua Barat,Regency,Fakfak,173.3982824,244.4582222,3545,3441
9102,Kabupaten Kaimana,Papua,Papua Barat,Regency,Kaimana,99.60406551,119.1407969,1804,1762
1225,Kabupaten Nias Barat,Sumatera,North Sumatera,Regency,Nias Barat,18.35245889,1.564313233,1237,1257
1201,Kabupaten Nias,Sumatera,North Sumatera,Regency,Nias,28.89811942,30.91694888,2563,2609
1224,Kabupaten Nias Utara,Sumatera,North Sumatera,Regency,Nias Utara,7.076181442,36.14952374,2332,2369
1101,Kabupaten Simeulue,Sumatera,Aceh,Regency,Simeulue,143.9742235,170.7355521,1601,1603
1272,Kota Tanjung Balai,Sumatera,North Sumatera,City,Tanjung Balai,928.75014,931.8080775,5790,5763
7412,Kabupaten Konawe Kepulauan,Sulawesi,Southeast Sulawesi,Regency,Konawe Kepulauan,57.99543993,65.15238369,1054,1047
9415,Kabupaten Asmat,Papua,Papua,Regency,Asmat,26.42595962,0,1522,1531
9436,Kabupaten Deiyai,Papua,Papua,Regency,Deiyai,0,1.764427185,834,831
9434,Kabupaten Dogiyai,Papua,Papua,Regency,Dogiyai,7.956031203,5.688788593,893,896
9435,Kabupaten Intan Jaya,Papua,Papua,Regency,Intan Jaya,0,0,762,759
9430,Kabupaten Lanny Jaya,Papua,Papua,Regency,Lanny Jaya,0,0,1160,1181
9431,Kabupaten Mamberamo Tengah,Papua,Papua,Regency,Mamberamo Tengah,0,0,751,759
9111,Kabupaten Manokwari Selatan,Papua,Papua Barat,Regency,Kab. Manokwari Selatan,99.31395057,116.6450039,586,568
9414,Kabupaten Mappi,Papua,Papua,Regency,Mappi,68.24311329,62.22065738,1884,1858
9110,Kabupaten Maybrat,Papua,Papua Barat,Regency,Maybrat,12.99978498,25.63392648,468,462
9404,Kabupaten Nabire,Papua,Papua,Regency,Nabire,345.9852826,391.3749361,7457,7378
9429,Kabupaten Nduga,Papua,Papua,Regency,Nduga,0,0,788,794
9112,Kabupaten Pegunungan Arfak,Papua,Papua Barat,Regency,Pegunungan Arfak,3.86400941,1.590990037,140,147
9417,Kabupaten Pegunungan Bintang,Papua,Papua,Regency,Pegunungan Bintang,0,0,1410,1408
9433,Kabupaten Puncak,Papua,Papua,Regency,Puncak,0,1.69173336,824,825
9411,Kabupaten Puncak Jaya,Papua,Papua,Regency,Puncak Jaya,0,0.844635069,1010,977
9109,Kabupaten Tambrauw,Papua,Papua Barat,Regency,"Tambrauw, Kab",12.15032759,15.52733228,150,147
9418,Kabupaten Tolikara,Papua,Papua,Regency,Tolikara,1.794407114,0,1053,1058
9416,Kabupaten Yahukimo,Papua,Papua,Regency,Yahukimo,0,0,1527,1527
9432,Kabupaten Yalimo,Papua,Papua,Regency,Yalimo,0,1.949134469,757,765
9427,Kabupaten Supiori,Papua,Papua,Regency,Supiori,82.22921361,83.34955566,761,769
9426,Kabupaten Waropen,Papua,Papua,Regency,Waropen,38.67281605,26.73929888,1508,1473
9103,Kabupaten Teluk Wondama,Papua,Papua Barat,Regency,Teluk Wondama,32.21389011,88.03123203,1012,979
1278,Kota Gunungsitoli,Sumatera,North Sumatera,City,Gunung Sitoli,342.2561481,223.565862,3428,3442
8208,Kabupaten Pulau Taliabu,Maluku,North Maluku,Regency,Pulau Taliabu,194.1940601,207.1638681,992,1002
7413,Kabupaten Muna Barat,Sulawesi,Southeast Sulawesi,Regency,Muna Barat,143.2802129,180.3965722,1843,1851
1301,Kabupaten Kepulauan Mentawai,Sumatera,West Sumatera,Regency,Kepulauan Mentawai,54.82205851,23.31175151,3012,2956
7606,Kabupaten Mamuju Tengah,Sulawesi,West Sulawesi,Regency,Mamuju Tengah,90.56630722,60.44492146,2240,2231
1216,Kabupaten Pakpak Bharat,Sumatera,North Sumatera,Regency,Pakpak Bharat,67.912729,84.89132054,852,851
9106,Kabupaten Sorong Selatan,Papua,Papua Barat,Regency,Sorong Selatan,54.13211806,80.30574648,1305,1256
1271,Kota Sibolga,Sumatera,North Sumatera,City,Sibolga,280.4938008,240.1454426,3570,3522
1214,Kabupaten Nias Selatan,Sumatera,North Sumatera,Regency,Nias Selatan,115.370441,127.4165801,4221,4247
9409,Kabupaten Biak Numfor,Papua,Papua,Regency,Biak Numfor,1383.27943,1528.692983,3430,3262
1813,Kabupaten Pesisir Barat,Sumatera,Lampung,Regency,Pesisir Barat,90.41769773,163.8490783,3103,3067
8109,Kabupaten Buru Selatan,Maluku,Maluku,Regency,Buru Selatan,60.34813285,68.87789686,892,892
7201,Kabupaten Banggai Kepulauan,Sulawesi,Central Sulawesi,Regency,Banggai Kepulauan,127.6745022,194.2998867,2666,2587
7415,Kabupaten Buton Selatan,Sulawesi,Southeast Sulawesi,Regency,Buton Selatan,196.3867293,223.3217712,2083,2069
7409,Kabupaten Buton Utara,Sulawesi,Southeast Sulawesi,Regency,Buton Utara,53.51864381,69.74446356,2229,2251
6211,Kabupaten Gunung Mas,Kalimantan,Central Kalimantan,Regency,Gunung Mas,162.8321413,246.0807067,3502,3619
8207,Kabupaten Pulau Morotai,Maluku,North Maluku,Regency,Pulau Morotai,229.772027,357.1081932,1034,1062
9108,Kabupaten Raja Ampat,Papua,Papua Barat,Regency,Raja Ampat,156.725385,128.9583166,2319,2285
7211,Kabupaten Banggai Laut,Sulawesi,Central Sulawesi,Regency,Banggai Laut,147.131757,161.9433495,1674,1602
5320,Kabupaten Sabu Raijua,Nusa Tenggara,East Nusa Tenggara,Regency,Sabu Raijua,118.511854,163.6513449,787,784
1204,Kabupaten Tapanuli Tengah,Sumatera,North Sumatera,Regency,Tapanuli Tengah,506.5076786,565.8447269,7024,6971
1705,Kabupaten Seluma,Sumatera,Bengkulu,Regency,Seluma,138.1719333,121.3973614,2871,2870
9413,Kabupaten Boven Digoel,Papua,Papua,Regency,Boven Digoel,168.9573705,160.4064162,3287,3200
7212,Kabupaten Morowali Utara,Sulawesi,Central Sulawesi,Regency,Morowali Utara,88.04718483,164.8418976,8090,8073
1118,Kabupaten Pidie Jaya,Sumatera,Aceh,Regency,Pidie Jaya,846.4395497,710.3725054,2604,2575
9428,Kabupaten Mamberamo Raya,Papua,Papua,Regency,Mamberamo Raya,4.72109288,11.42952102,1014,1017
7110,Kabupaten Bolaang Mongondow Selatan,Sulawesi,North Sulawesi,Regency,Bolaang Mongondow Selatan,418.444864,491.9049017,1329,1337
1116,Kabupaten Aceh Jaya,Sumatera,Aceh,Regency,Aceh Jaya,365.4018896,392.3541715,1995,1982
1220,Kabupaten Padang Lawas Utara,Sumatera,North Sumatera,Regency,Padang Lawas Utara,335.0770237,154.5119488,8228,8323
6411,Kabupaten Mahakam Hulu,Kalimantan,East Kalimantan,Regency,Mahakam Ulu,3.859717786,7.631646931,1767,1763
7603,Kabupaten Mamasa,Sulawesi,West Sulawesi,Regency,Mamasa,49.47836004,33.7517015,2242,2214
7408,Kabupaten Kolaka Utara,Sulawesi,Southeast Sulawesi,Regency,Kolaka Utara,56.2687956,134.6964924,6331,6357
7108,Kabupaten Siau Tagulandang Biaro,Sulawesi,North Sulawesi,Regency,Kep. Siau Tagulandang Biaro,106.0118965,84.5158322,1594,1611
1175,Kota Subulussalam,Sumatera,Aceh,City,Subulussalam,393.2477542,474.6517158,1359,1385
8203,Kabupaten Kepulauan Sula,Maluku,North Maluku,Regency,Kepulauan Sula,151.7010159,163.0162369,1641,1648
1312,Kabupaten Pasaman Barat,Sumatera,West Sumatera,Regency,Pasaman Barat,522.5903787,612.9508031,11412,11259
1221,Kabupaten Padang Lawas,Sumatera,North Sumatera,Regency,Padang Lawas,298.797994,325.0639691,7959,8053
7322,Kabupaten Luwu Utara,Sulawesi,South Sulawesi,Regency,Luwu Utara,25.03110778,165.1771768,8221,8173
1105,Kabupaten Aceh Timur,Sumatera,Aceh,Regency,Aceh Timur,5957.143618,3836.269213,8147,8293
5316,Kabupaten Sumba Tengah,Nusa Tenggara,East Nusa Tenggara,Regency,Sumba Tengah,66.62238648,89.2683332,750,757
7317,Kabupaten Luwu,Sulawesi,South Sulawesi,Regency,Luwu,203.6430326,224.6693945,9729,9856
