"districtID","district","sat2019","sat2020","gdp2019","gdp2020"
3101,"Kabupaten Kepulauan Seribu",71.00861317,74.22577643,3900.479736,3710.919678
3171,"Kota Jakarta Selatan",21369.91255,18978.59423,421291,419329.7188
3172,"Kota Jakarta Timur",23277.88858,21811.98936,313550.6563,299704.5625
3173,"Kota Jakarta Pusat",11117.19703,11131.6125,452820.375,449615.3438
3174,"Kota Jakarta Barat",19429.94498,17563.89483,318891.5,316204.3438
3175,"Kota Jakarta Utara",23333.24976,21832.12775,332843.5625,312331.5625
3201,"Kabupaten Bogor",41225.98991,38374.66132,156868.2969,154096.8125
3202,"Kabupaten Sukabumi",7194.238304,6542.04974,46703.62109,46199.30859
3203,"Kabupaten Cianjur",6809.243237,6127.084965,32039.59375,31789.05664
3204,"Kabupaten Bandung",16525.15454,16623.9788,82373.17969,80829.30469
3205,"Kabupaten Garut",6172.885562,6344.498504,39092.49219,38598.14453
3206,"Kabupaten Tasikmalaya",5959.656048,5341.751465,24586.66602,24346.36133
3207,"Kabupaten Ciamis",4752.750777,4358.4588,29744.10791,29709.38232
3208,"Kabupaten Kuningan",5944.220319,5637.524125,16864.15039,16879.44922
3209,"Kabupaten Cirebon",13508.08882,13123.76022,33668.09766,33304.49609
3210,"Kabupaten Majalengka",6063.524585,5920.451597,21550.25,21736.60547
3211,"Kabupaten Sumedang",5315.55876,5533.221125,23932.73047,23665.00586
3212,"Kabupaten Indramayu",15604.74848,14461.72057,60153.17969,59200
3213,"Kabupaten Subang",13137.73963,14320.23664,28616.81836,28252.05469
3214,"Kabupaten Purwakarta",7571.017667,7632.02184,46281.71094,45332.64844
3215,"Kabupaten Karawang",31476.46972,28934.14285,163732.4844,156981.2813
3216,"Kabupaten Bekasi",49123.86823,45406.262,251492.7813,243195.25
3217,"Kabupaten Bandung Barat",7128.136448,7436.429791,31398.34961,30638.41992
3271,"Kota Bogor",7620.752042,6908.403428,32253.50977,32083.49023
3272,"Kota Sukabumi",1190.002797,1004.084406,8661.017578,8533.038086
3273,"Kota Bandung",12827.69388,12592.34632,197642.8906,193144.9375
3274,"Kota Cirebon",2092.656002,1927.471656,16811.68945,16645.13477
3275,"Kota Bekasi",23155.78711,22278.81272,69408.57031,67638.0625
3276,"Kota Depok",14303.9258,14028.01159,49076.62891,48132.08984
3277,"Kota Cimahi",2580.801099,2552.577379,22856.04297,22340.55273
3278,"Kota Tasikmalaya",5230.741336,4819.64667,15746.12012,15430.01953
3279,"Kota Banjar",865.8079588,803.7322844,3221.369385,3254.94043
3301,"Kabupaten Cilacap",10948.31956,9358.492819,100328.4375,89934.71875
3302,"Kabupaten Banyumas",6922.280288,7045.268916,39779.32031,39121.625
3303,"Kabupaten Purbalingga",1864.284574,2288.613843,17387.94141,17174.55078
3304,"Kabupaten Banjarnegara",1921.129624,2346.874532,15246.87012,15045.86914
